"unique_id"	"wuzhou"	"num"	"Book_ID"	"Section_ID"	"book"	"chapter"	"page"	"dy"	"entry_addr"	"entry_time"	"entry_type"	"hao"	"biog_addr"	"kin"	"post_office"	"reign"	"nonsense"	"nonsense_1"	"office"	"altname"	"name_lg"	"post_addr"	"post_time"	"post_time_west_wrong"	"post_time_west"	"multiple_postings"	"apointment_type"	"prev_office"	"source"	"zi"	"other"	"full_text"	"name_simp"	"joint"	"name_zi_jiguan"	"flag"
"1"	"3290_44"	NA	44	232	3290	"<U+96F2><U+9704><U+5EF3><U+5FD7>"	"<U+79E9><U+5B98>"	329	"<U+660E>"	NA	NA	NA	NA	"<U+6A02><U+5E73>"	NA	NA	NA	"<U+4EBA>"	NA	"<U+540C><U+77E5>"	NA	"<U+8D99><U+7D13>"	NA	"<U+5929><U+5553><U+4E09><U+5E74>"	NA	"1623"	"N"	"<U+4EFB>"	NA	NA	NA	"       "	"<dy><<U+660E>></dy><office><<U+540C><U+77E5>></office><person><U+8D99><U+7D13></person><U+25CB><U+25CB><jiguan><U+6A02><U+5E73></jiguan><null><U+4EBA></null><post_time><U+5929><U+5553><U+4E09><U+5E74></post_time><post_type><U+4EFB></post_type><U+25CB><U+25CB><U+25CB>"	"<U+8D75><U+7EBE>"	"<U+8D99><U+7D13>_<U+6A02><U+5E73>"	"<U+8D99><U+7D13> <U+6A02><U+5E73>"	TRUE
"2"	"3290_222"	NA	222	232	3290	"<U+96F2><U+9704><U+5EF3><U+5FD7>"	"<U+79E9><U+5B98>"	339	"<U+570B><U+671D>"	NA	NA	NA	NA	"<U+6B63><U+767D><U+65D7>"	NA	NA	NA	"<U+4EBA>"	NA	"<U+96F2><U+9704><U+71DF><U+904A><U+64CA>"	NA	"<U+9EC4><U+6B63><U+4E2D>"	NA	"<U+96CD><U+6B63><U+4E5D><U+5E74>"	NA	"1731"	"N"	"<U+4EFB>"	NA	NA	NA	"       "	"<dy><<U+570B><U+671D>></dy><office><<U+96F2><U+9704><U+71DF><U+904A><U+64CA>></office><person><U+9EC4><U+6B63><U+4E2D></person><U+25CB><U+25CB><jiguan><U+6B63><U+767D><U+65D7></jiguan><null><U+4EBA></null><post_time><U+96CD><U+6B63><U+4E5D><U+5E74></post_time><post_type><U+4EFB></post_type><U+25CB>"	"<U+9EC4><U+6B63><U+4E2D>"	"<U+9EC4><U+6B63><U+4E2D>_<U+767D><U+65D7>"	"<U+9EC4><U+6B63><U+4E2D> <U+6B63><U+767D><U+65D7>"	TRUE
"3"	"3290_251"	NA	251	232	3290	"<U+96F2><U+9704><U+5EF3><U+5FD7>"	"<U+79E9><U+5B98>"	342	"<U+570B><U+671D>"	NA	NA	NA	NA	"<U+6F33><U+6D66>"	NA	NA	NA	"<U+4EBA>"	NA	"<U+96F2><U+9704><U+71DF><U+5B88><U+5099>"	NA	"<U+8521><U+68E8>"	NA	"<U+96CD><U+6B63><U+4E94><U+5E74>"	NA	"1727"	"N"	"<U+4EFB>"	NA	NA	NA	"       "	"<dy><<U+570B><U+671D>></dy><office><<U+96F2><U+9704><U+71DF><U+5B88><U+5099>></office><person><U+8521><U+68E8></person><U+25CB><U+25CB><jiguan><U+6F33><U+6D66></jiguan><null><U+4EBA></null><post_time><U+96CD><U+25CB><U+6B63><U+4E94><U+5E74></post_time><post_type><U+4EFB></post_type><U+25CB>"	"<U+8521><U+68E8>"	"<U+8521><U+68E8>_<U+6F33><U+6D66>"	"<U+8521><U+68E8> <U+6F33><U+6D66>"	TRUE
"4"	"3290_252"	NA	252	232	3290	"<U+96F2><U+9704><U+5EF3><U+5FD7>"	"<U+79E9><U+5B98>"	342	"<U+570B><U+671D>"	NA	NA	NA	NA	"<U+6B63><U+767D><U+65D7>"	NA	NA	NA	"<U+4EBA>"	NA	"<U+96F2><U+9704><U+71DF><U+5B88><U+5099>"	NA	"<U+9EC4><U+6B63><U+4E2D>"	NA	"<U+96CD><U+6B63><U+516D><U+5E74>"	NA	"1728"	"N"	"<U+4EFB>"	NA	NA	NA	"       "	"<dy><<U+570B><U+671D>></dy><office><<U+96F2><U+9704><U+71DF><U+5B88><U+5099>></office><person><U+9EC4><U+6B63><U+4E2D></person><U+25CB><U+25CB><jiguan><U+6B63><U+767D><U+65D7></jiguan><null><U+4EBA></null><U+25CB><post_time><U+96CD><U+6B63><U+516D><U+5E74></post_time><post_type><U+4EFB></post_type><U+25CB><U+25CB><U+25CB>"	"<U+9EC4><U+6B63><U+4E2D>"	"<U+9EC4><U+6B63><U+4E2D>_<U+767D><U+65D7>"	"<U+9EC4><U+6B63><U+4E2D> <U+6B63><U+767D><U+65D7>"	TRUE
"5"	"4395_109"	NA	109	253	4395	"<U+6EAB><U+5DDE><U+5E9C><U+5FD7>"	"<U+8077><U+5B98>"	797	"<U+5B8B>"	NA	NA	NA	NA	"<U+76E7><U+9F8D>"	NA	NA	NA	NA	NA	"<U+77E5><U+6E29><U+5DDE><U+8ECD><U+5DDE><U+4E8B>"	NA	"<U+9673><U+82E5><U+62D9>"	"<U+6EAB><U+5DDE>"	NA	NA	NA	NA	NA	NA	NA	"<U+654F><U+4E4B>"	"   <U+5B57>  <U+4EBA><U+5DE5><U+90E8><U+90CE><U+4E2D><U+77E5>"	"<dy><<U+5B8B>></dy><office><<U+77E5><U+6E29><U+5DDE><U+8ECD><U+5DDE><U+4E8B>></office><person><U+9673><U+82E5><U+62D9></person><U+25CB><U+25CB><U+5B57><zi><U+654F><U+4E4B></zi><jiguan><U+76E7><U+9F8D></jiguan><U+4EBA><U+5DE5><U+25CB><U+90E8><U+90CE><U+4E2D><U+77E5><U+25CB><U+25CB><U+25CB><U+25CB>"	"<U+9648><U+82E5><U+62D9>"	"<U+9673><U+82E5><U+62D9>_<U+76E7><U+9F8D>"	"<U+9673><U+82E5><U+62D9> <U+76E7><U+9F8D>"	TRUE
"6"	"4395_186"	NA	186	253	4395	"<U+6EAB><U+5DDE><U+5E9C><U+5FD7>"	"<U+8077><U+5B98>"	802	"<U+5B8B>"	NA	NA	NA	NA	"<U+9E97><U+6C34>"	NA	NA	NA	NA	NA	"<U+77E5><U+6E29><U+5DDE><U+8ECD><U+5DDE><U+4E8B>"	NA	"<U+6881><U+6C5D><U+5609>"	"<U+6EAB><U+5DDE>"	NA	NA	NA	NA	NA	NA	NA	"<U+4EF2><U+8B28>"	"   <U+5B5A>  <U+4EBA><U+5BF6><U+6587><U+95A3><U+5B78><U+58EB><U+77E5>"	"<dy><<U+5B8B>></dy><office><<U+77E5><U+6E29><U+5DDE><U+8ECD><U+5DDE><U+4E8B>></office><person><U+6881><U+6C5D><U+5609></person><U+25CB><U+25CB><U+5B5A><zi><U+4EF2><U+8B28></zi><jiguan><U+9E97><U+6C34></jiguan><U+4EBA><U+25CB><U+5BF6><U+6587><U+95A3><U+5B78><U+58EB><U+77E5><U+25CB><U+25CB><U+25CB><U+25CB>"	"<U+6881><U+6C5D><U+5609>"	"<U+6881><U+6C5D><U+5609>_<U+9E97><U+6C34>"	"<U+6881><U+6C5D><U+5609> <U+9E97><U+6C34>"	TRUE
"7"	"4395_200"	NA	200	253	4395	"<U+6EAB><U+5DDE><U+5E9C><U+5FD7>"	"<U+8077><U+5B98>"	802	"<U+5B8B>"	NA	NA	NA	NA	"<U+6C5F><U+90FD>"	NA	NA	NA	NA	NA	"<U+77E5><U+6E29><U+5DDE><U+8ECD><U+5DDE><U+4E8B>"	NA	"<U+674E><U+8861>"	"<U+6EAB><U+5DDE>"	NA	NA	NA	NA	NA	NA	NA	"<U+5F65><U+5E73>"	"   <U+5B57>  <U+4EBA><U+7D39><U+8208><U+9593><U+4ED5><U+898B><U+5B8B><U+53F2><U+672C><U+25A1>"	"<dy><<U+5B8B>></dy><office><<U+77E5><U+6E29><U+5DDE><U+8ECD><U+5DDE><U+4E8B>></office><person><U+674E><U+25CB><U+8861></person><U+25CB><U+25CB><U+5B57><zi><U+5F65><U+5E73></zi><jiguan><U+6C5F><U+90FD></jiguan><U+4EBA><U+7D39><U+25CB><U+8208><U+9593><U+4ED5><U+898B><U+5B8B><U+53F2><U+672C><U+25CB><U+25CB><U+25CB><U+25A1><U+25CB><U+25CB><U+25CB><U+25CB><U+25CB><U+25CB><U+25CB><U+25CB><U+25CB><U+25CB><U+25CB><U+25CB><U+25CB>"	"<U+674E><U+8861>"	"<U+674E><U+8861>_<U+6C5F><U+90FD>"	"<U+674E><U+8861> <U+6C5F><U+90FD>"	TRUE
"8"	"4395_425"	NA	425	253	4395	"<U+6EAB><U+5DDE><U+5E9C><U+5FD7>"	"<U+8077><U+5B98>"	816	"<U+660E>"	NA	NA	"<U+9032><U+58EB>"	NA	"<U+5EF6><U+6D25>"	NA	NA	NA	"<U+4EBA>"	NA	"<U+6EAB><U+5DDE><U+5E9C><U+77E5><U+5E9C>"	NA	"<U+5B8B><U+5B88><U+5FD7>"	"<U+6EAB><U+5DDE><U+5E9C>"	"<U+5609><U+9756><U+4E09><U+5341><U+516B><U+5E74>"	NA	"1559"	"N"	NA	NA	NA	NA	"       <U+4EFB>"	"<dy><<U+660E>></dy><office><<U+6EAB><U+5DDE><U+5E9C><U+77E5><U+5E9C>></office><person><U+5B8B><U+5B88><U+5FD7></person><U+25CB><U+25CB><jiguan><U+5EF6><U+6D25></jiguan><null><U+4EBA></null><entry_way><U+9032><U+58EB></entry_way><U+25CB><post_time><U+4E09><U+5341><U+516B><U+5E74></post_time><U+4EFB><U+25CB><U+25CB><U+25CB>"	"<U+5B8B><U+5B88><U+5FD7>"	"<U+5B8B><U+5B88><U+5FD7>_<U+5EF6><U+6D25>"	"<U+5B8B><U+5B88><U+5FD7> <U+5EF6><U+6D25>"	TRUE
"9"	"4395_782"	NA	782	253	4395	"<U+6EAB><U+5DDE><U+5E9C><U+5FD7>"	"<U+8077><U+5B98>"	837	"<U+660E>"	NA	NA	NA	NA	"<U+95A9><U+7E23>"	NA	NA	NA	"<U+4EBA>"	NA	"<U+901A><U+5224>"	NA	"<U+5468><U+61C9><U+594E>"	"<U+6EAB><U+5DDE><U+5E9C>"	"<U+5609><U+9756><U+4E09><U+5341><U+56DB><U+5E74>"	NA	"1555"	"N"	NA	NA	NA	NA	"      <U+4EFB>"	"<dy><<U+660E>></dy><office><<U+901A><U+5224>></office><person><U+5468><U+61C9><U+594E></person><U+25CB><U+25CB><jiguan><U+95A9><U+7E23></jiguan><null><U+4EBA></null><post_time><U+4E09><U+25CB><U+5341><U+56DB><U+5E74></post_time><U+4EFB><U+25CB><U+25CB><U+25CB><U+25CB>"	"<U+5468><U+5E94><U+594E>"	"<U+5468><U+61C9><U+594E>_<U+95A9><U+7E23>"	"<U+5468><U+61C9><U+594E> <U+95A9><U+7E23>"	TRUE
"10"	"4395_1170"	NA	1170	253	4395	"<U+6EAB><U+5DDE><U+5E9C><U+5FD7>"	"<U+8077><U+5B98>"	860	"<U+570B><U+671D>"	NA	NA	NA	NA	"<U+5927><U+8208>"	NA	NA	NA	"<U+4EBA>"	NA	"<U+540C><U+77E5>"	NA	"<U+694A><U+5409><U+7965>"	"<U+6EAB><U+5DDE><U+5E9C>"	NA	NA	NA	NA	NA	"<U+6C38><U+5609><U+77E5><U+7E23>"	NA	NA	"     <U+524D> "	"<dy><<U+570B><U+671D>></dy><office><<U+540C><U+77E5>></office><person><U+694A><U+5409><U+7965></person><U+25CB><U+25CB><jiguan><U+5927><U+8208></jiguan><null><U+4EBA></null><U+524D><U+25CB><prev_office><U+6C38><U+5609><U+77E5><U+7E23></prev_office><U+25CB><U+25CB><U+25CB><U+25CB>"	"<U+6768><U+5409><U+7965>"	"<U+694A><U+5409><U+7965>_<U+5927><U+8208>"	"<U+694A><U+5409><U+7965> <U+5927><U+8208>"	TRUE
"11"	"4395_1440"	NA	1440	253	4395	"<U+6EAB><U+5DDE><U+5E9C><U+5FD7>"	"<U+8077><U+5B98>"	877	"<U+660E>"	NA	NA	"<U+9032><U+58EB>"	NA	"<U+5357><U+660C>"	NA	NA	NA	"<U+4EBA>"	NA	"<U+77E5><U+7E23>"	NA	"<U+4F0D><U+58EB><U+671B>"	"<U+6C38><U+5609><U+7E23>"	"<U+9686><U+6176>"	NA	"1567 - 1572"	"N"	NA	NA	NA	NA	"       "	"<post_address><<U+6C38><U+5609><U+7E23>></post_address><dy><<U+660E>></dy><office><<U+77E5><U+7E23>></office><person><U+4F0D><U+58EB><U+671B></person><U+25CB><jiguan><U+5357><U+660C></jiguan><null><U+4EBA></null><U+25CB><entry_way><U+9032><U+58EB></entry_way><U+25CB><U+25CB><U+25CB><U+25CB>"	"<U+4E94><U+58EB><U+671B>"	"<U+4F0D><U+58EB><U+671B>_<U+5357><U+660C>"	"<U+4F0D><U+58EB><U+671B> <U+5357><U+660C>"	TRUE
"12"	"4395_1449"	NA	1449	253	4395	"<U+6EAB><U+5DDE><U+5E9C><U+5FD7>"	"<U+8077><U+5B98>"	878	"<U+660E>"	NA	NA	"<U+9032><U+58EB>"	NA	"<U+6B66><U+9032>"	NA	NA	NA	"<U+4EBA>"	NA	"<U+77E5><U+7E23>"	NA	"<U+838A><U+5EF7><U+81E3>"	"<U+6C38><U+5609><U+7E23>"	"<U+842C><U+6B77>"	NA	"1573 - 1620"	"N"	NA	NA	NA	NA	"       "	"<post_address><<U+6C38><U+5609><U+7E23>></post_address><dy><<U+660E>></dy><office><<U+77E5><U+7E23>></office><person><U+838A><U+5EF7><U+81E3></person><U+25CB><jiguan><U+6B66><U+9032></jiguan><null><U+4EBA></null><U+25CB><entry_way><U+9032><U+58EB></entry_way><U+25CB><U+25CB><U+25CB><U+25CB><U+25CB>"	"<U+5E84><U+5EF7><U+81E3>"	"<U+838A><U+5EF7><U+81E3>_<U+6B66><U+9032>"	"<U+838A><U+5EF7><U+81E3> <U+6B66><U+9032>"	TRUE
"13"	"4395_1735"	NA	1735	253	4395	"<U+6EAB><U+5DDE><U+5E9C><U+5FD7>"	"<U+8077><U+5B98>"	895	"<U+570B><U+671D>"	NA	NA	NA	NA	"<U+5927><U+8208>"	NA	NA	NA	"<U+4EBA>"	NA	"<U+77E5><U+7E23>"	NA	"<U+694A><U+5409><U+7965>"	"<U+6C38><U+5609><U+7E23>"	"<U+5EB7><U+7199><U+56DB><U+5341><U+516D><U+5E74>"	NA	"1707"	"N"	NA	NA	NA	NA	"      <U+4F8B><U+76E3> <U+4EFB>"	"<post_address><<U+6C38><U+5609><U+7E23>></post_address><dy><<U+570B><U+671D>></dy><office><<U+77E5><U+7E23>></office><person><U+694A><U+5409><U+7965></person><U+25CB><U+25CB><jiguan><U+5927><U+8208></jiguan><null><U+4EBA></null><U+4F8B><U+76E3><U+25CB><post_time><U+56DB><U+5341><U+516D><U+5E74></post_time><U+4EFB><U+25CB><U+25CB><U+25CB><U+25CB>"	"<U+6768><U+5409><U+7965>"	"<U+694A><U+5409><U+7965>_<U+5927><U+8208>"	"<U+694A><U+5409><U+7965> <U+5927><U+8208>"	TRUE
"14"	"4395_1982"	NA	1982	253	4395	"<U+6EAB><U+5DDE><U+5E9C><U+5FD7>"	"<U+8077><U+5B98>"	910	"<U+660E>"	NA	NA	"<U+8209><U+4EBA>"	NA	"<U+9F8D><U+6EAA>"	NA	NA	NA	"<U+4EBA>"	NA	"<U+77E5><U+7E23>"	NA	"<U+912D><U+5FA9>"	"<U+6A02><U+6E05><U+7E23>"	NA	NA	NA	NA	NA	NA	NA	NA	"       "	"<post_address><<U+6A02><U+6E05><U+7E23>></post_address><dy><<U+660E>></dy><office><<U+77E5><U+7E23>></office><person><U+912D><U+25CB><U+5FA9></person><U+25CB><U+25CB><jiguan><U+9F8D><U+6EAA></jiguan><null><U+4EBA></null><U+25CB><entry_way><U+8209><U+4EBA></entry_way><U+25CB><U+25CB><U+25CB><U+25CB>"	"<U+90D1><U+590D>"	"<U+912D><U+5FA9>_<U+9F8D><U+6EAA>"	"<U+912D><U+5FA9> <U+9F8D><U+6EAA>"	TRUE
"15"	"4395_2238"	NA	2238	253	4395	"<U+6EAB><U+5DDE><U+5E9C><U+5FD7>"	"<U+8077><U+5B98>"	926	"<U+570B><U+671D>"	NA	NA	"<U+8209><U+4EBA>"	NA	"<U+6C5F><U+90FD>"	NA	NA	NA	"<U+4EBA>"	NA	"<U+77E5><U+7E23>"	NA	"<U+5F90><U+5316><U+6C11>"	"<U+6A02><U+6E05><U+7E23>"	"<U+5EB7><U+7199><U+4E8C><U+5341><U+4E00><U+5E74>"	NA	"1682"	"N"	"<U+4EFB>"	NA	NA	NA	"         "	"<post_address><<U+6A02><U+6E05><U+7E23>></post_address><dy><<U+570B><U+671D>></dy><office><<U+77E5><U+7E23>></office><person><U+5F90><U+5316><U+6C11></person><U+25CB><U+25CB><jiguan><U+6C5F><U+90FD></jiguan><null><U+4EBA></null><entry_way><U+8209><U+4EBA></entry_way><post_time><U+5EB7><U+25CB><U+7199><U+4E8C><U+5341><U+4E00><U+5E74></post_time><post_type><U+4EFB></post_type><U+25CB><U+25CB>"	"<U+5F90><U+5316><U+6C11>"	"<U+5F90><U+5316><U+6C11>_<U+6C5F><U+90FD>"	"<U+5F90><U+5316><U+6C11> <U+6C5F><U+90FD>"	TRUE
"16"	"4395_2573"	NA	2573	253	4395	"<U+6EAB><U+5DDE><U+5E9C><U+5FD7>"	"<U+8077><U+5B98>"	946	"<U+660E>"	NA	NA	"<U+9032><U+58EB>"	NA	"<U+8C50><U+57CE>"	NA	NA	NA	"<U+4EBA>"	NA	"<U+77E5><U+7E23>"	NA	"<U+674E><U+9022>"	"<U+745E><U+5B89><U+7E23>"	"<U+5609><U+9756>"	NA	"1522 - 1566"	"N"	NA	"<U+7D66><U+4E8B><U+4E2D>"	NA	NA	"       <U+4EE5> <U+8B2B><U+4EFB>"	"<post_address><<U+745E><U+5B89><U+7E23>></post_address><dy><<U+660E>></dy><office><<U+77E5><U+7E23>></office><person><U+674E><U+25CB><U+9022></person><U+25CB><U+25CB><jiguan><U+8C50><U+57CE></jiguan><null><U+4EBA></null><entry_way><U+9032><U+58EB></entry_way><U+4EE5><U+25CB><prev_office><U+7D66><U+4E8B><U+4E2D></prev_office><U+8B2B><U+4EFB><U+25CB><U+25CB><U+25CB><U+25CB>"	"<U+674E><U+9022>"	"<U+674E><U+9022>_<U+8C50><U+57CE>"	"<U+674E><U+9022> <U+8C50><U+57CE>"	TRUE
