"unique_id"	"wuzhou"	"num"	"Book_ID"	"Section_ID"	"book"	"chapter"	"page"	"dy"	"entry_addr"	"entry_time"	"entry_type"	"hao"	"biog_addr"	"kin"	"post_office"	"reign"	"nonsense"	"nonsense_1"	"office"	"altname"	"name_lg"	"post_addr"	"post_time"	"post_time_west_wrong"	"post_time_west"	"multiple_postings"	"apointment_type"	"prev_office"	"source"	"zi"	"other"	"full_text"	"name_simp"	"joint"	"name_zi_jiguan"	"flag"
"1"	"3290_44"	NA	44	232	3290	"雲霄廳志"	"秩官"	329	"明"	NA	NA	NA	NA	"樂平"	NA	NA	NA	"人"	NA	"同知"	NA	"趙紓"	NA	"天啓三年"	NA	"1623"	"N"	"任"	NA	NA	NA	"       "	"<dy><明></dy><office><同知></office><person>趙紓</person>○○<jiguan>樂平</jiguan><null>人</null><post_time>天啓三年</post_time><post_type>任</post_type>○○○"	"赵纾"	"趙紓_樂平"	"趙紓 樂平"	TRUE
"2"	"3290_222"	NA	222	232	3290	"雲霄廳志"	"秩官"	339	"國朝"	NA	NA	NA	NA	"正白旗"	NA	NA	NA	"人"	NA	"雲霄營遊擊"	NA	"黄正中"	NA	"雍正九年"	NA	"1731"	"N"	"任"	NA	NA	NA	"       "	"<dy><國朝></dy><office><雲霄營遊擊></office><person>黄正中</person>○○<jiguan>正白旗</jiguan><null>人</null><post_time>雍正九年</post_time><post_type>任</post_type>○"	"黄正中"	"黄正中_白旗"	"黄正中 正白旗"	TRUE
"3"	"3290_251"	NA	251	232	3290	"雲霄廳志"	"秩官"	342	"國朝"	NA	NA	NA	NA	"漳浦"	NA	NA	NA	"人"	NA	"雲霄營守備"	NA	"蔡棨"	NA	"雍正五年"	NA	"1727"	"N"	"任"	NA	NA	NA	"       "	"<dy><國朝></dy><office><雲霄營守備></office><person>蔡棨</person>○○<jiguan>漳浦</jiguan><null>人</null><post_time>雍○正五年</post_time><post_type>任</post_type>○"	"蔡棨"	"蔡棨_漳浦"	"蔡棨 漳浦"	TRUE
"4"	"3290_252"	NA	252	232	3290	"雲霄廳志"	"秩官"	342	"國朝"	NA	NA	NA	NA	"正白旗"	NA	NA	NA	"人"	NA	"雲霄營守備"	NA	"黄正中"	NA	"雍正六年"	NA	"1728"	"N"	"任"	NA	NA	NA	"       "	"<dy><國朝></dy><office><雲霄營守備></office><person>黄正中</person>○○<jiguan>正白旗</jiguan><null>人</null>○<post_time>雍正六年</post_time><post_type>任</post_type>○○○"	"黄正中"	"黄正中_白旗"	"黄正中 正白旗"	TRUE
"5"	"4395_109"	NA	109	253	4395	"溫州府志"	"職官"	797	"宋"	NA	NA	NA	NA	"盧龍"	NA	NA	NA	NA	NA	"知温州軍州事"	NA	"陳若拙"	"溫州"	NA	NA	NA	NA	NA	NA	NA	"敏之"	"   字  人工部郎中知"	"<dy><宋></dy><office><知温州軍州事></office><person>陳若拙</person>○○字<zi>敏之</zi><jiguan>盧龍</jiguan>人工○部郎中知○○○○"	"陈若拙"	"陳若拙_盧龍"	"陳若拙 盧龍"	TRUE
"6"	"4395_186"	NA	186	253	4395	"溫州府志"	"職官"	802	"宋"	NA	NA	NA	NA	"麗水"	NA	NA	NA	NA	NA	"知温州軍州事"	NA	"梁汝嘉"	"溫州"	NA	NA	NA	NA	NA	NA	NA	"仲謨"	"   孚  人寶文閣學士知"	"<dy><宋></dy><office><知温州軍州事></office><person>梁汝嘉</person>○○孚<zi>仲謨</zi><jiguan>麗水</jiguan>人○寶文閣學士知○○○○"	"梁汝嘉"	"梁汝嘉_麗水"	"梁汝嘉 麗水"	TRUE
"7"	"4395_200"	NA	200	253	4395	"溫州府志"	"職官"	802	"宋"	NA	NA	NA	NA	"江都"	NA	NA	NA	NA	NA	"知温州軍州事"	NA	"李衡"	"溫州"	NA	NA	NA	NA	NA	NA	NA	"彥平"	"   字  人紹興間仕見宋史本□"	"<dy><宋></dy><office><知温州軍州事></office><person>李○衡</person>○○字<zi>彥平</zi><jiguan>江都</jiguan>人紹○興間仕見宋史本○○○□○○○○○○○○○○○○○"	"李衡"	"李衡_江都"	"李衡 江都"	TRUE
"8"	"4395_425"	NA	425	253	4395	"溫州府志"	"職官"	816	"明"	NA	NA	"進士"	NA	"延津"	NA	NA	NA	"人"	NA	"溫州府知府"	NA	"宋守志"	"溫州府"	"嘉靖三十八年"	NA	"1559"	"N"	NA	NA	NA	NA	"       任"	"<dy><明></dy><office><溫州府知府></office><person>宋守志</person>○○<jiguan>延津</jiguan><null>人</null><entry_way>進士</entry_way>○<post_time>三十八年</post_time>任○○○"	"宋守志"	"宋守志_延津"	"宋守志 延津"	TRUE
"9"	"4395_782"	NA	782	253	4395	"溫州府志"	"職官"	837	"明"	NA	NA	NA	NA	"閩縣"	NA	NA	NA	"人"	NA	"通判"	NA	"周應奎"	"溫州府"	"嘉靖三十四年"	NA	"1555"	"N"	NA	NA	NA	NA	"      任"	"<dy><明></dy><office><通判></office><person>周應奎</person>○○<jiguan>閩縣</jiguan><null>人</null><post_time>三○十四年</post_time>任○○○○"	"周应奎"	"周應奎_閩縣"	"周應奎 閩縣"	TRUE
"10"	"4395_1170"	NA	1170	253	4395	"溫州府志"	"職官"	860	"國朝"	NA	NA	NA	NA	"大興"	NA	NA	NA	"人"	NA	"同知"	NA	"楊吉祥"	"溫州府"	NA	NA	NA	NA	NA	"永嘉知縣"	NA	NA	"     前 "	"<dy><國朝></dy><office><同知></office><person>楊吉祥</person>○○<jiguan>大興</jiguan><null>人</null>前○<prev_office>永嘉知縣</prev_office>○○○○"	"杨吉祥"	"楊吉祥_大興"	"楊吉祥 大興"	TRUE
